https://www.ausl.imola.bo.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/10010
timestamp,delta_positive_from_yesterday,delta_death_from_yesterday,total_recovered
2020-03-04,1,0,0
2020-03-05,16,0,0
2020-03-06,0,0,0
2020-03-07,999999999,999999999,999999999
2020-03-08,3,0,0
2020-03-09,15,0,0
2020-03-10,2,2,0
2020-03-11,5,1,0
2020-03-12,0,0,0
2020-03-13,5,3,0
2020-03-14,16,3,0
2020-03-15,9,1,2
2020-03-16,18,0,2
2020-03-17,10,2,2
2020-03-18,13,1,2
2020-03-19,11,0,2
2020-03-20,20,2,2
2020-03-21,19,1,2
2020-03-22,15,1,2
2020-03-23,3,0,3
2020-03-24,11,0,3
2020-03-25,16,2,4
2020-03-26,11,0,4
2020-03-27,9,2,4
2020-03-28,11,1,5
2020-03-29,0,1,5
2020-03-30,14,0,6
2020-03-31,7,1,8
2020-04-01,11,1,8
2020-04-02,12,2,8
2020-04-03,15,0,9
2020-04-04,4,0,10
2020-04-05,12,2,10
2020-04-06,3,0,10
2020-04-07,5,0,19
2020-04-08,3,0,23
2020-04-09,1,1,30
2020-04-10,7,1,31
2020-04-11,4,0,42
2020-04-12,6,0,43
2020-04-13,2,0,45
2020-04-14,0,1,47
2020-04-15,0,0,72
2020-04-16,3,1,79
2020-04-17,4,0,93
2020-04-18,2,1,98
2020-04-19,1,0,100
2020-04-20,1,0,117
2020-04-21,2,2,124
2020-04-22,1,1,147
2020-04-23,0,0,153
2020-04-24,0,0,168
2020-04-25,1,0,187
2020-04-26,3,0,188
2020-04-27,1,0,194
2020-04-28,2,0,196
2020-04-29,9,1,199
2020-04-30,1,0,239
2020-05-01,3,0,239
2020-05-02,4,0,246
2020-05-03,3,0,248
2020-05-04,0,0,258
2020-05-05,1,0,264
2020-05-06,0,0,268
2020-05-07,1,0,270
2020-05-08,0,0,274
2020-05-09,0,0,279
2020-05-10,1,0,279
2020-05-11,0,0,279
2020-05-12,0,1,289
2020-05-13,0,0,290
2020-05-14,1,0,298
2020-05-15,0,0,299
2020-05-16,0,0,301
2020-05-17,1,0,302
2020-05-18,0,0,308
2020-05-19,0,0,309
2020-05-20,0,0,313
2020-05-21,1,0,323
2020-05-22,0,0,329
2020-05-23,0,0,329
2020-05-24,0,0,329
2020-05-25,0,0,330
2020-05-26,1,0,335
2020-05-27,0,0,335
2020-05-28,1,0,337
2020-05-29,0,0,338
2020-05-30,0,0,343
2020-05-31,0,0,343
2020-06-01,0,0,343
2020-06-02,0,0,343
2020-06-03,0,0,344
2020-06-04,3,0,344
2020-06-05,1,0,346
2020-06-06,0,0,348
2020-06-07,0,0,348
2020-06-08,0,0,348
2020-06-09,1,0,348
2020-06-10,0,0,349
2020-06-11,0,0,349
2020-06-12,0,0,350
2020-06-13,1,0,350
2020-06-14,2,0,352
2020-06-15,0,0,353
2020-06-16,0,0,354
2020-06-17,0,0,354
2020-06-18,0,0,355
2020-06-19,0,0,355
2020-06-20,0,0,355
2020-06-21,0,0,355
2020-06-22,0,0,355
2020-06-23,1,0,356
2020-06-24,0,0,356
2020-06-25,0,0,356
2020-06-26,0,0,356
2020-06-27,1,0,358
2020-06-28,0,0,358
2020-06-29,0,0,359
2020-06-30,0,0,360
2020-07-01,0,0,360
2020-07-02,0,0,360
2020-07-03,0,0,361
2020-07-04,0,0,361
2020-07-05,0,0,361
2020-07-06,0,0,361
2020-07-07,0,0,361
2020-07-08,0,0,361
2020-07-09,0,0,361
2020-07-10,0,0,361
2020-07-11,0,0,361
2020-07-12,0,0,361
2020-07-13,0,0,361
2020-07-14,0,0,361
2020-07-15,1,0,361
2020-07-16,0,0,361
2020-07-17,0,0,361
2020-07-18,0,0,361
2020-07-19,1,0,361
2020-07-20,0,0,361
2020-07-21,0,0,361
2020-07-22,10,0,361
2020-07-23,0,0,361
2020-07-24,2,0,361
2020-07-25,3,0,361
2020-07-26,4,0,361
2020-07-27,0,0,361
2020-07-28,0,0,361
2020-07-29,3,0,361
2020-07-30,0,0,361
2020-07-31,4,0,362
2020-08-01,0,0,362
2020-08-02,1,0,363
2020-08-03,0,0,363
2020-08-04,0,0,364
2020-08-05,1,0,368
2020-08-06,0,0,368
2020-08-07,3,0,369
2020-08-08,0,0,369
2020-08-09,1,0,373
2020-08-10,0,0,373
2020-08-11,0,0,373
2020-08-12,1,0,374
2020-08-13,0,0,374
2020-08-14,2,0,375
2020-08-15,1,0,376
2020-08-16,0,0,376
2020-08-17,0,0,376
2020-08-18,0,0,376
2020-08-19,1,0,376
2020-08-20,5,0,376
2020-08-21,0,0,376
2020-08-22,8,0,379
2020-08-23,3,0,379
2020-08-24,1,0,379
2020-08-25,0,0,379
2020-08-26,8,0,380
2020-08-27,10,0,380
2020-08-28,8,0,381
2020-08-29,6,0,381
2020-08-30,3,0,383
2020-08-31,7,0,383
2020-09-01,0,0,383
2020-09-02,5,0,388
2020-09-03,2,0,388
2020-09-04,6,0,388
2020-09-05,5,0,388
2020-09-06,2,0,391
2020-09-07,4,0,391
2020-09-08,0,0,391
2020-09-09,1,0,391
2020-09-10,1,0,391
